6	0	48	0	54	205	5506	1180
6	0	60	55	66	206	4501	674
6	0	72	67	80	207	3291	716
6	0	87	81	100	208	3169	496
6	0	87	101	127	208	3169	496
6	0	48	0	51	205	5506	1180
6	0	60	52	63	206	4501	674
6	0	72	64	77	207	3291	716
6	0	87	78	97	208	3169	496
6	0	87	98	127	208	3169	496
6	0	48	0	54	205	5506	1180
6	0	60	55	66	206	4501	674
6	0	72	67	80	207	3291	716
6	0	87	81	100	208	3169	496
6	0	87	101	127	208	3169	496
6	0	48	0	54	205	5506	1180
6	0	60	55	66	206	4501	674
6	0	72	67	80	207	3291	716
6	0	87	81	100	208	3169	496
6	0	87	101	127	208	3169	496
7	0	48	0	46	89	467	168
7	0	60	47	65	90	290	84
7	0	72	66	78	91	206	42
7	0	84	79	95	92	76	21
7	0	103	96	127	224	212	14
8	0	77	0	98	79	292	252
8	0	101	99	102	80	81	62
8	0	90	103	127	245	299	15
9	0	85	0	87	178	326	118
9	0	91	88	91	179	232	84
9	0	102	92	127	180	125	44
10	0	82	0	57	253	583	213
10	0	82	58	88	253	583	213
10	0	101	89	102	80	81	62
10	0	90	103	127	245	299	15
11	0	52	0	57	477	5878	669
11	0	64	58	70	478	5704	268
11	0	76	71	82	479	3300	235
11	0	88	83	93	480	2264	118
11	0	100	94	127	481	2428	59
11	0	52	0	57	477	5878	669
11	0	64	58	70	478	5704	268
11	0	76	71	82	479	3300	235
11	0	88	83	93	480	2264	118
11	0	100	94	127	481	2428	59
12	0	54	0	48	243	1317	594
12	0	62	49	81	244	1528	74
12	0	90	82	127	245	299	15
12	0	54	0	48	243	1317	594
12	0	62	49	81	244	1528	74
12	0	90	82	127	245	299	15
13	0	72	0	88	493	959	125
13	0	93	89	101	494	545	49
13	0	90	102	127	245	299	15
14	0	84	0	89	464	294	872
14	0	84	90	96	464	294	872
14	0	84	97	127	464	294	872
14	0	84	0	89	464	294	872
14	0	84	90	96	464	294	872
14	0	84	97	127	464	294	872
14	0	84	0	89	464	294	872
14	0	84	90	96	464	294	872
14	0	84	97	127	464	294	872
15	0	74	0	55	325	1112	410
15	0	74	56	87	325	1112	410
15	0	103	88	127	224	212	14
16	0	73	0	79	150	465	79
16	0	85	80	92	151	236	40
16	0	97	93	127	152	124	20
16	0	90	0	64	121	903	3766
16	0	90	65	127	121	903	3766
16	0	67	0	55	6	187	56
16	0	67	56	84	6	187	56
16	0	91	85	93	7	86	14
16	0	97	94	96	8	87	10
16	0	97	97	127	8	87	10
16	0	73	0	79	150	465	79
16	0	85	80	92	151	236	40
16	0	97	93	127	152	124	20
17	0	53	0	64	153	3682	253
17	0	68	65	82	154	1663	107
17	0	86	83	127	155	1340	75
17	0	53	0	64	153	3682	253
17	0	68	65	82	154	1663	107
17	0	86	83	94	155	1340	75
17	0	86	95	127	155	1340	75
17	0	73	0	76	150	465	79
17	0	85	77	92	151	236	40
17	0	97	93	127	152	124	20
18	0	71	0	55	156	1236	2261
18	0	83	56	69	157	1353	2317
18	0	95	70	127	158	1260	2184
19	0	46	0	52	110	1752	372
19	0	56	53	60	111	914	627
19	0	66	61	73	112	593	235
19	0	78	74	86	113	1211	59
19	0	90	87	127	114	764	29
19	0	46	0	52	110	1752	372
19	0	56	53	60	111	914	627
19	0	66	61	73	112	593	235
19	0	78	74	86	113	1211	59
19	0	90	87	127	114	764	29
19	0	46	0	49	110	1752	372
19	0	56	50	57	111	914	627
19	0	66	58	69	112	593	235
19	0	78	70	86	113	1211	59
19	0	90	87	127	114	764	29
20	0	53	0	46	322	41	254
20	0	53	47	68	322	41	254
20	0	72	69	83	323	12	43
20	0	88	93	127	324	50	50
20	0	72	84	92	323	12	43
21	0	68	0	48	20	2752	1009
21	0	68	49	84	20	2752	1009
21	0	96	85	95	21	2075	84
21	0	95	96	127	473	403	11
21	0	68	0	48	20	2752	1009
21	0	68	49	84	20	2752	1009
21	0	96	85	95	21	2075	84
21	0	88	96	127	324	50	50
22	0	56	0	68	182	2	106
22	0	64	69	76	183	1	67
22	0	72	77	84	184	3	42
22	0	80	85	92	185	2	53
22	0	88	93	101	186	1	50
22	0	96	102	127	187	1	21
23	0	64	0	44	42	723	67
23	0	64	45	71	42	723	67
23	0	74	72	82	43	512	76
23	0	88	96	127	324	50	50
23	0	72	83	95	323	12	43
24	0	48	0	52	255	3460	1011
24	0	57	53	66	256	3565	602
24	0	70	67	76	257	2820	520
24	0	79	77	89	258	2787	113
24	0	88	90	91	259	1727	84
24	0	97	92	99	260	1008	80
24	0	101	100	127	217	1843	647
24	0	48	0	44	255	3460	1011
24	0	57	45	58	256	3565	602
24	0	70	59	68	257	2820	520
24	0	79	69	81	258	2787	113
24	0	88	82	83	259	1727	84
24	0	97	84	92	260	1008	80
24	0	104	93	127	261	3308	13
24	0	48	0	52	255	3460	1011
24	0	57	53	66	256	3565	602
24	0	70	67	76	257	2820	520
24	0	79	77	89	258	2787	113
24	0	88	90	91	259	1727	84
24	0	97	92	99	260	1008	80
24	0	101	100	127	217	1843	647
24	0	48	0	52	255	3460	1011
24	0	57	53	66	256	3565	602
24	0	70	67	76	257	2820	520
24	0	79	77	89	258	2787	113
24	0	88	90	91	259	1727	84
24	0	97	92	99	260	1008	80
24	0	101	100	127	217	1843	647
25	0	41	0	44	398	8352	1008
25	0	49	45	52	399	4790	1114
25	0	57	53	60	400	4724	301
25	0	65	61	69	401	4886	253
25	0	74	70	81	402	3596	188
25	0	84	89	127	403	2763	190
25	0	84	82	88	403	2763	190
25	0	49	0	47	399	4790	1114
25	0	55	48	69	2	5448	563
25	0	79	70	86	3	2337	787
25	0	89	87	127	4	1827	582
25	0	41	0	36	398	8352	1008
25	0	49	37	44	399	4790	1114
25	0	57	45	52	400	4724	301
25	0	65	53	61	401	4886	253
25	0	74	62	73	402	3596	188
25	0	84	74	127	403	2763	190
26	0	50	0	54	211	4982	1502
26	0	59	55	63	212	4518	1875
26	0	68	64	71	213	4663	796
26	0	74	72	79	214	3895	526
26	0	84	80	88	215	4102	886
26	0	93	89	97	216	2882	677
26	0	101	98	127	217	1843	647
26	0	50	0	66	211	4982	1502
26	0	59	67	75	212	4518	1875
26	0	68	76	83	213	4663	796
26	0	74	84	91	214	3895	526
26	0	84	92	100	215	4102	886
26	0	93	101	109	216	2882	677
26	0	101	110	127	217	1843	647
27	0	48	0	54	94	4686	338
27	0	60	55	62	95	3433	337
27	0	67	63	70	96	2877	226
27	0	72	71	80	97	2013	337
27	0	83	81	99	98	2263	22
27	0	84	100	127	403	2763	190
27	0	48	0	54	94	4686	338
27	0	60	55	63	95	3433	337
27	0	67	64	70	96	2877	226
27	0	72	71	80	97	2013	337
27	0	83	81	99	98	2263	22
27	0	84	100	127	403	2763	190
28	0	43	0	69	246	1184	225
28	0	64	70	72	247	1007	67
28	0	81	73	86	248	485	25
28	0	88	87	91	259	1727	84
28	0	97	92	99	260	1008	80
28	0	101	100	127	217	1843	647
28	0	43	0	56	246	1184	225
28	0	64	57	68	247	1007	67
28	0	81	69	86	248	485	25
28	0	88	87	91	259	1727	84
28	0	97	92	99	260	1008	80
28	0	101	100	127	217	1843	647
28	0	43	0	69	246	1184	225
28	0	64	70	72	247	1007	67
28	0	81	73	86	248	485	25
28	0	88	87	91	259	1727	84
28	0	97	92	99	260	1008	80
28	0	101	100	127	217	1843	647
29	0	32	0	44	273	4335	424
29	0	37	45	49	274	3585	318
29	0	48	50	57	275	2433	169
29	0	60	58	63	276	4190	169
29	0	59	64	70	277	1213	88
29	0	61	71	73	278	1253	80
29	0	65	74	77	279	867	63
29	0	77	78	89	280	643	31
29	0	84	90	96	281	378	21
29	0	94	97	127	282	291	59
30	0	36	0	48	122	3314	337
30	0	42	49	54	123	3044	237
30	0	47	55	59	124	2091	178
